user_rank,user_id,number_of_interactions
1,879,127647
2,793,102101
3,909,82930
4,725,76986
5,71,72471
6,75,68119
7,205,66334
8,718,66030
9,238,63991
10,613,63985
11,434,62639
12,413,62349
13,68,58139
14,954,54077
15,291,51289
16,669,50516
17,527,47116
18,862,46677
19,366,46200
20,702,45919
21,587,45519
22,859,45466
23,868,45296
24,594,44329
25,797,43596
26,138,43272
27,812,43120
28,510,41817
29,976,41444
30,899,41296
31,151,41022
32,858,40762
33,524,40596
34,191,38291
35,39,37622
36,787,37496
37,198,37384
38,995,37347
39,16,37318
40,581,37318
41,240,37016
42,450,36980
43,840,36281
44,111,36018
45,197,34788
46,611,34582
47,221,34426
48,707,34375
49,775,34142
50,286,34018
51,911,33604
52,204,33564
53,104,33247
54,829,32262
55,457,31892
56,26,31807
57,872,31399
58,15,30882
59,972,30793
60,568,30281
61,364,30124
62,372,29694
63,740,29624
64,605,29526
65,831,28594
66,82,28440
67,190,28213
68,779,28211
69,455,28155
70,547,28076
71,180,27908
72,269,27851
73,996,27714
74,503,27567
75,324,27518
76,130,27415
77,446,27241
78,903,27176
79,54,27095
80,418,27075
81,202,27073
82,448,26995
83,210,26907
84,573,26892
85,968,26862
86,566,26600
87,142,26565
88,565,26544
89,109,26470
90,728,26177
91,848,25985
92,893,25827
93,592,25815
94,383,25754
95,123,25433
96,100,25413
97,856,25267
98,435,25237
99,21,25150
100,937,25018
101,382,24558
102,632,24328
103,76,24314
104,659,24132
105,680,24121
106,546,24079
107,871,24050
108,970,23889
109,46,23826
110,47,23808
111,540,23761
112,602,23760
113,348,23634
114,490,23550
115,542,23528
116,990,23503
117,265,23431
118,359,23064
119,571,23025
120,58,22959
121,509,22926
122,211,22925
123,841,22740
124,192,22658
125,181,22568
126,219,22498
127,375,22465
128,788,22422
129,464,22401
130,447,22397
131,882,22370
132,895,22328
133,715,22148
134,246,22092
135,497,22068
136,295,21867
137,495,21722
138,974,21588
139,427,21505
140,790,21474
141,184,21416
142,563,21387
143,906,21378
144,627,21335
145,482,21056
146,508,20755
147,157,20743
148,947,20720
149,953,20277
150,772,20208
151,94,20100
152,759,20068
153,218,20033
154,703,19945
155,614,19856
156,561,19813
157,6,19802
158,345,19780
159,596,19665
160,73,19559
161,575,19504
162,744,19420
163,679,19203
164,635,19173
165,173,19147
166,727,19134
167,942,19120
168,4,19003
169,462,18966
170,924,18865
171,860,18832
172,293,18730
173,926,18643
174,315,18564
175,887,18547
176,643,18497
177,767,18466
178,535,18179
179,944,18174
180,367,18086
181,823,18065
182,548,17898
183,62,17786
184,303,17783
185,140,17750
186,176,17687
187,492,17682
188,31,17657
189,664,17576
190,782,17478
191,969,17430
192,920,17369
193,381,17348
194,834,17254
195,115,17170
196,582,17156
197,809,17096
198,29,17021
199,844,17001
200,351,16951
201,466,16944
202,925,16868
203,33,16834
204,417,16749
205,849,16713
206,821,16711
207,389,16681
208,959,16665
209,904,16646
210,591,16633
211,658,16584
212,986,16536
213,600,16490
214,365,16389
215,761,16384
216,886,16274
217,652,16262
218,460,16260
219,500,16260
220,558,16259
221,22,16204
222,739,16165
223,710,16155
224,709,16152
225,876,16148
226,344,16146
227,53,16053
228,589,16052
229,121,16023
230,7,15988
231,915,15950
232,939,15938
233,65,15876
234,430,15797
235,0,15601
236,798,15600
237,83,15556
238,156,15496
239,684,15459
240,502,15384
241,973,15356
242,998,15352
243,166,15333
244,347,15310
245,226,15286
246,796,15270
247,272,15215
248,477,15211
249,70,15176
250,110,15050
251,289,15001
252,850,14993
253,69,14960
254,282,14939
255,762,14937
256,936,14832
257,187,14810
258,294,14787
259,604,14735
260,458,14709
261,89,14703
262,640,14690
263,836,14687
264,27,14678
265,811,14600
266,423,14491
267,261,14479
268,268,14465
269,98,14402
270,526,14365
271,921,14277
272,228,14211
273,781,14094
274,125,14041
275,453,14019
276,656,14016
277,145,14014
278,673,13981
279,835,13978
280,981,13940
281,283,13938
282,118,13862
283,552,13819
284,106,13788
285,225,13783
286,385,13765
287,938,13720
288,50,13643
289,322,13637
290,750,13624
291,553,13539
292,213,13474
293,332,13440
294,80,13420
295,993,13412
296,975,13345
297,85,13339
298,851,13310
299,335,13270
300,408,13237
301,720,13237
302,884,13179
303,84,13178
304,410,13158
305,325,13141
306,616,13103
307,23,13068
308,237,13053
309,338,13051
310,852,13017
311,438,12888
312,671,12872
313,159,12807
314,215,12794
315,629,12774
316,828,12714
317,678,12658
318,907,12605
319,988,12566
320,153,12489
321,649,12489
322,932,12416
323,112,12386
324,465,12327
325,234,12307
326,487,12228
327,687,12224
328,583,12223
329,334,12198
330,695,12196
331,837,12194
332,144,12173
333,127,12167
334,769,12124
335,977,12107
336,19,12075
337,206,12046
338,468,12021
339,734,11999
340,894,11964
341,60,11963
342,706,11956
343,873,11934
344,732,11872
345,529,11856
346,149,11845
347,454,11817
348,672,11816
349,229,11806
